FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
131.933,134.433,1.0,1.00686,72.69536252,0.27410556,1824.748169,462.4299927,651.5180054
134.433,136.933,1.0,0.67885,31.53022317,0.0,1824.748169,462.4299927,651.5180054
136.933,139.433,2.0,0.98475,44.88408885,0.0,1824.748169,462.4299927,651.5180054
139.433,141.933,2.0,0.42552,10.3085388,0.23996833,1824.748169,462.4299927,651.5180054
141.933,144.433,1.0,0.005,46.60902904,1.96361569,1824.748169,462.4299927,651.5180054
144.433,146.933,1.0,0.09993,8.49912576,0.46297049,1824.748169,462.4299927,651.5180054
146.933,149.433,1.0,0.005,4.79669656,0.0,1824.748169,462.4299927,651.5180054
149.433,151.933,1.0,0.16758,16.8364396,0.16603255,1824.748169,462.4299927,651.5180054
151.933,154.433,1.0,0.29294,23.49948554,0.0,1824.748169,462.4299927,651.5180054
154.433,156.933,1.0,0.44657,4.70790155,0.0,1824.748169,462.4299927,651.5180054
156.933,159.433,2.0,0.78706,166.7952201,0.66592263,1824.748169,462.4299927,651.5180054
159.433,161.933,2.0,1.02914,99.86687546,0.6768673,1824.748169,462.4299927,651.5180054
161.933,164.433,2.0,0.43655,8.1742436,1.18607715,1824.748169,462.4299927,651.5180054
164.433,166.933,2.0,0.58763,38.49048801,0.20386964,1824.748169,462.4299927,651.5180054
166.933,169.433,1.0,1.76201,51.5513478,0.0,1824.748169,462.4299927,651.5180054
169.433,171.933,1.0,1.64193,70.93237831,0.34468452,1824.748169,462.4299927,651.5180054
171.933,174.433,1.0,2.13302,165.1598878,0.54265134,1824.748169,462.4299927,651.5180054
174.433,176.933,1.0,3.59391,110.9319543,0.93933256,1824.748169,462.4299927,651.5180054
176.933,179.433,1.0,6.04093,220.0891578,3.30816351,1824.748169,462.4299927,651.5180054
179.433,181.933,1.0,2.06586,83.16176873,1.60223419,1824.748169,462.4299927,651.5180054
181.933,184.433,1.0,2.5144,65.01101316,0.0,1824.748169,462.4299927,651.5180054
184.433,186.933,1.0,1.1779,43.34769764,0.77543454,1824.748169,462.4299927,651.5180054
186.933,189.433,1.0,2.08446,48.48882019,1.5371559,1824.748169,462.4299927,651.5180054
189.433,191.933,1.0,2.62973,81.536986,0.60788605,1824.748169,462.4299927,651.5180054
191.933,194.433,1.0,5.2468,129.2071058,1.44977051,1824.748169,462.4299927,651.5180054
194.433,196.933,1.0,5.47881,109.1101836,1.08170836,1824.748169,462.4299927,651.5180054
196.933,199.141,1.0,6.84233,77.75678282,2.85867592,1824.748169,462.4299927,651.5180054
0.0,98.271,0.0,0.0,0.0,0.0,1868.5354,443.595459,657.7936401
98.271,99.429,2.0,0.82697,23.1459654,0.68429915,1868.5354,443.595459,657.7936401
99.429,101.929,3.0,1.36893,66.78160413,0.17623275,1868.5354,443.595459,657.7936401
101.929,104.429,2.0,0.90625,38.17435451,0.34950268,1868.5354,443.595459,657.7936401
104.429,106.929,2.0,0.86551,18.4296648,0.32363721,1868.5354,443.595459,657.7936401
106.929,109.429,3.0,0.33831,9.98774554,0.0,1868.5354,443.595459,657.7936401
109.429,111.929,3.0,0.005,2.67944359,0.0,1868.5354,443.595459,657.7936401
111.929,114.429,2.0,0.005,17.59119235,0.0,1868.5354,443.595459,657.7936401
114.429,116.929,2.0,0.005,24.0449202,0.68868233,1868.5354,443.595459,657.7936401
116.929,119.429,2.0,0.005,14.9224015,0.382836,1868.5354,443.595459,657.7936401
119.429,121.929,2.0,0.005,18.54306889,0.0,1868.5354,443.595459,657.7936401
