BHID,FROM,TO,AU,AG,CU,LENGTH
107,185.633352,188.133352,4.19436,182.1497309,1.87505874,2.5
107,188.133352,190.633352,4.34761,169.7770617,0.61258851,2.5
107,190.633352,193.133352,4.87779,208.8639903,2.32046008,2.5
107,193.133352,195.633352,4.344,112.5333473,0.14454264,2.5
107,195.633352,198.133352,3.84882,61.66392256,1.20194702,2.5
107,198.133352,200.633352,3.64906,84.93056106,0.72598859,2.5
107,200.633352,202.8074189,6.32373,70.21200054,0.87216038,2.1740669
108,0,64.66106906,0,0,0,64.66106906
108,64.66106906,64.87165242,1.58536,45.43278866,0,0.21058336
108,64.87165242,67.37165242,2.38344,67.53344271,2.82834673,2.5
108,67.37165242,69.87165242,4.1456,62.07402009,2.17616404,2.5
108,69.87165242,72.37165242,6.84446,271.7768196,0.82353182,2.5
108,72.37165242,74.87165242,8.17087,195.8381929,3.92935393,2.5
108,74.87165242,77.37165242,3.5193,141.6082106,2.12267029,2.5
108,77.37165242,79.87165242,3.13901,102.5977987,1.69810262,2.5
108,79.87165242,82.37165242,3.13686,109.393932,0.46452379,2.5
108,82.37165242,84.87165242,3.9154,104.0672697,1.81812726,2.5
108,84.87165242,87.37165242,2.16902,85.51650956,0.55237356,2.5
108,87.37165242,89.87165242,1.98791,87.75136027,0.58135987,2.5
108,89.87165242,92.37165242,2.08359,30.36330082,0.04999943,2.5
108,92.37165242,94.87165242,1.9388,72.006524,1.87840388,2.5
108,94.87165242,97.37165242,0.99188,44.55350326,0,2.5
108,97.37165242,99.87165242,0.74513,8.80091162,0,2.5
108,99.87165242,102.3716524,0.29979,34.5889779,0.3164778,2.49999998
108,102.3716524,104.8716524,0.52408,25.68855911,0.09810424,2.5
108,104.8716524,107.3716524,0.80477,29.76197302,0.52199865,2.5
108,107.3716524,109.8716524,1.71878,27.07497441,0,2.5
108,109.8716524,112.3716524,1.45639,146.5021343,0,2.5
108,112.3716524,114.8716524,2.81139,110.4415238,1.14922818,2.5
108,114.8716524,117.3716524,1.7698,70.54910012,1.09836411,2.5
108,117.3716524,119.8716524,3.03594,171.1353819,2.20006963,2.5
108,119.8716524,122.3716524,2.65475,74.74862456,0.27223667,2.5
108,122.3716524,124.8716524,2.44614,12.86737316,1.17199579,2.5
108,124.8716524,127.3716524,2.22872,116.3223543,0.95586531,2.5
108,127.3716524,129.8716524,2.96304,41.57738773,0.96876332,2.5
108,129.8716524,132.3716524,2.51573,14.36844702,1.34450272,2.5
108,132.3716524,134.8716524,2.81364,86.03474176,0.93220096,2.5
108,134.8716524,137.3716524,1.16816,30.98088463,0.02821864,2.5
108,137.3716524,139.8716524,1.85456,24.0313174,0,2.5
108,139.8716524,142.3716524,1.72691,34.01896268,0,2.5
108,142.3716524,144.8716524,3.58456,105.6858361,0.57754616,2.5
108,144.8716524,147.3716524,1.46995,63.26721169,0.09633365,2.5
108,147.3716524,149.8716524,1.05499,18.66221435,1.43766626,2.5
108,149.8716524,152.3716524,0.715,22.76967523,0,2.5
108,152.3716524,154.8716524,0.48895,31.32693084,0,2.5
108,154.8716524,157.3716524,1.4071,34.66733477,1.11044628,2.5
108,157.3716524,159.8716524,2.23548,115.4031099,0.74834467,2.5
108,159.8716524,162.3716524,4.40029,159.8382446,1.72432982,2.5
108,162.3716524,164.8716524,3.45419,117.2298262,1.81422647,2.5
108,164.8716524,167.3716524,1.22295,89.91412996,0.69265913,2.5
