midx;midy;midz
10745;10885;3885
10755;10885;3885
10745;10895;3885
10755;10895;3885
10745;10885;3895
10755;10885;3895
10745;10895;3895
10755;10895;3895
10765;10885;3885
10775;10885;3885
10765;10895;3885
10775;10895;3885
10765;10885;3895
10775;10885;3895
10765;10895;3895
10775;10895;3895
10785;10885;3895
10795;10885;3895
10785;10895;3895
10795;10895;3895
10805;10885;3895
10815;10885;3895
10805;10895;3895
10815;10895;3895
10825;10895;3895
10575;10905;3895
10575;10915;3895
10585;10905;3895
10595;10905;3895
10585;10915;3895
10595;10915;3895
10615;10905;3885
10615;10915;3885
10605;10905;3895
10615;10905;3895
10605;10915;3895
10615;10915;3895
10625;10905;3885
10635;10905;3885
10625;10915;3885
10635;10915;3885
10625;10905;3895
10635;10905;3895
10625;10915;3895
10635;10915;3895
10645;10905;3885
10655;10905;3885
10645;10915;3885
10655;10915;3885
10645;10905;3895
10655;10905;3895
10645;10915;3895
10655;10915;3895
10665;10905;3885
10675;10905;3885
10665;10915;3885
10675;10915;3885
10665;10905;3895
10675;10905;3895
10665;10915;3895
10675;10915;3895
10685;10905;3885
10695;10905;3885
10685;10915;3885
10695;10915;3885
10685;10905;3895
10695;10905;3895
10685;10915;3895
10695;10915;3895
10705;10905;3885
10715;10905;3885
10705;10915;3885
10715;10915;3885
10705;10905;3895
10715;10905;3895
10705;10915;3895
10715;10915;3895
10725;10905;3885
10735;10905;3885
10725;10915;3885
10735;10915;3885
10725;10905;3895
10735;10905;3895
10725;10915;3895
10735;10915;3895
10745;10905;3885
10755;10905;3885
10745;10915;3885
